,Nivel,Area,DESCRIPCIÓN PROGRAMA,TIPO DE PROMO,Antigüedad,Duracion,INICIOS,Lanzamiento,VA EJECUTIVAS?,VA HIBRIDAS?,VA UTEL JOVEN?,CLAVE PROGRAMA MX
68,Maestria,Ingeniería y Tecnología,MAESTRÍA EN CIENCIAS COMPUTACIONALES Y TELECOMUNICACIONES,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMACCFED
69,Maestria,Ingeniería y Soluciones,MAESTRÍA EN DIRECCIÓN E INGENIERÍA DE SOFTWARE,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMASOFED
70,Maestria,Capital Humano y Transformación Organizacional,MAESTRÍA EN GESTIÓN ESTRATÉGICA DEL CAPITAL HUMANO,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAGEFED
71,Maestria,Hospitalidad y Turismo,MAESTRÍA EN LOGÍSTICA Y CADENA DE SUMINISTRO,Pricing medio,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,,UTLMALCFED
72,Maestria,Finanzas y Economía,MAESTRÍA EN IMPUESTOS,Pricing medio,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,,UTLMAIMFED
73,Maestria,"Negocios, Innovación y Liderazgo",MAESTRÍA EN COMERCIO INTERNACIONAL,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMACNFED
74,Maestria,Ciencias Sociales y Humanidades,MAESTRÍA EN DESARROLLO SUSTENTABLE Y GESTIÓN AMBIENTAL,Pricing medio,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,,UTLMADGFED
75,Maestria,Hospitalidad y Turismo,MAESTRÍA EN DIRECCIÓN DE EMPRESAS TURÍSTICAS,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMADTFED
76,Maestria,Capital Humano y Transformación Organizacional,MAESTRÍA EN GESTIÓN ORGANIZACIONAL POSITIVA,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAGOFED
77,Maestria,Diseño y Comunicación,MAESTRÍA EN DISEÑO PARA MEDIOS DIGITALES,Pricing medio,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,,UTLMADMFED
