,,,,,,4,,,,,,,,,,,,,
Pais,Nivel,Jornada,Zona,TIPO DE PROMO,ANTIGÜEDAD LEAD,1er pago,2do pago,3er pago,4to pago,5to pago,Nombre paquete,Nombre escalonado,Posicionamiento,Precio de lista,Nombre paquete ejecutivo,Nombre escalonado ejecutivo,Nombre paquete Hibrido,Nombre escalonado Hibrido,Nombre escalonado con titulo
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,SUPER PROMO,108700,201000,201000,201000,201000,ARG3.10%.SUPE.TIT.EQUSA.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Buenos Aires / Semestral,Hotlead,180600,180600,180600,180600,180600,ARG3.SEMESTRAL.HOTL.TIT.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Buenos Aires / Semestral,Hotlead,191500,191500,191500,191500,191500,ARG3.SEMESTRAL.HOTL.TIT.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Buenos Aires / Semestral,Hotlead,207600,207600,207600,207600,207600,ARG3.SEMESTRAL.HOTL.TIT.EQUSA.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Buenos Aires / Semestral,RMKT,153700,153700,153700,153700,153700,ARG3.SEMESTRAL.RMKT.TIT.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Buenos Aires / Semestral,RMKT,164600,164600,164600,164600,164600,ARG3.SEMESTRAL.RMKT.TIT.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Buenos Aires / Semestral,RMKT,180600,180600,180600,180600,180600,ARG3.SEMESTRAL.RMKT.TIT.EQUSA.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Buenos Aires / Semestral,SUPER PROMO,164200,164200,164200,164200,164200,ARG3.SEMESTRAL.SUPE.TIT.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Buenos Aires / Semestral,SUPER PROMO,175100,175100,175100,175100,175100,ARG3.SEMESTRAL.SUPE.TIT.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Buenos Aires / Semestral,SUPER PROMO,191100,191100,191100,191100,191100,ARG3.SEMESTRAL.SUPE.TIT.EQUSA.PLATZI.LI.COM.1.10.26,,,"334,6",,,,,
